MementoDatetime,URIM,FollowerCount,AbsGrowth,RelGrowth,AbsPerGrowth,RelPerGrowth,AbsFolRate,RelFolRate
20161208132734,https://web.archive.org/web/20161208132734/https://twitter.com/dog_rates,792522,625049,0,373.22,0.0,0.02281,0.0
20161208175546,https://wayback.archive-it.org/all/20161208175546/https://twitter.com/dog_rates,793294,625821,772,373.68,0.1,0.02282,0.04797
20161208175546,https://web.archive.org/web/20161208175546/https://twitter.com/dog_rates,793294,625821,0,373.68,0.0,0.02282,0.0
20161213021345,https://web.archive.org/web/20161213021345/https://twitter.com/dog_rates,816309,648836,23015,387.43,2.9,0.02334,0.0613
20161213063731,https://swap.stanford.edu/20161213063731/https://twitter.com/dog_rates,817454,649981,1145,388.11,0.14,0.02337,0.07235
20161213063731,https://web.archive.org/web/20161213063731/https://twitter.com/dog_rates,817454,649981,0,388.11,0.0,0.02337,0.0
20161217160500,https://wayback.archive-it.org/all/20161217160500/https://twitter.com/dog_rates,837622,670149,20168,400.15,2.47,0.02377,0.05312
20161217160500,https://web.archive.org/web/20161217160500/https://twitter.com/dog_rates,837622,670149,0,400.15,0.0,0.02377,0.0
20161222080752,https://web.archive.org/web/20161222080752/https://twitter.com/dog_rates,862496,695023,24874,415.01,2.97,0.0243,0.06167
20161222131337,https://wayback.archive-it.org/all/20161222131337/https://twitter.com/dog_rates,863018,695545,522,415.32,0.06,0.02431,0.02845
20161222131337,https://web.archive.org/web/20161222131337/https://twitter.com/dog_rates,863018,695545,0,415.32,0.0,0.02431,0.0
20161222190417,https://wayback.archive-it.org/all/20161222190417/https://twitter.com/dog_rates,864225,696752,1207,416.04,0.14,0.02433,0.05737
20161222190417,https://web.archive.org/web/20161222190417/https://twitter.com/dog_rates,864225,696752,0,416.04,0.0,0.02433,0.0
20161223035740,https://swap.stanford.edu/20161223035740/https://twitter.com/dog_rates,866550,699077,2325,417.43,0.27,0.02438,0.07265
20161223035740,https://web.archive.org/web/20161223035740/https://twitter.com/dog_rates,866550,699077,0,417.43,0.0,0.02438,0.0
20161227231649,https://web.archive.org/web/20161227231649/https://twitter.com/dog_rates,894451,726978,27901,434.09,3.22,0.025,0.06721
20161229080619,https://web.archive.org/web/20161229080619/https://twitter.com/dog_rates,904863,737390,10412,440.3,1.16,0.02525,0.08811
20161230113716,https://wayback.archive-it.org/all/20161230113716/https://twitter.com/dog_rates,911897,744424,7034,444.5,0.78,0.02541,0.07101
20161230113716,https://web.archive.org/web/20161230113716/https://twitter.com/dog_rates,911897,744424,0,444.5,0.0,0.02541,0.0
